,species,species_id
290,S(10414),CC([O])(CC=O)C(=O)C=O_m2
291,S(11189),CC1([O])OOC(O)C1=O_m2
292,S(10413),CC(=O)C(=O)[CH]OCC=O_m2
293,S(10412),C[C](OCC=O)C(=O)C=O_m2
294,S(10055),CC(=O)C(=C[O])OCC=O_m2
295,S(9633),O=CCO[C]=CC(=O)C=O_m2
296,C4H4(7854),C=C=C=C_m1
297,S(8059),C=[C]C(=C)O[O]_m3
298,S(10035),[CH2]OCC(=O)C(O)=CO_m2
299,S(10088),C=C([O])CC(=O)C(O)=CO_m2
300,S(8052),[CH2]C#CCO[O]_m3
301,S(11122),CC(=O)C(=O)C(O)C[O]_m2
302,S(3412),C=C(C)O[O]_m2
303,C4H3(7855),C#C[C]=C_m2
304,S(11283),C#CC(=C)O[O]_m2
305,S(11325),C#CC1([CH2])OO1_m2
306,S(7098),C#CC(=C)[O]_m2
307,S(11332),C=C1[C]=COO1_m2
308,S(11398),C#CC(=O)CO[CH2]_m2
309,S(11399),C#CC(=O)CC[O]_m2
310,S(11406),C#CC(=O)CO[O]_m2
311,S(11580),[CH]=C1OOCC1=O_m2
312,S(11517),C#CC(=O)CC(C)[O]_m2
313,S(11516),C#CC(=O)CO[CH]C_m2
314,S(11509),C#CC(=O)CC(=C)[O]_m2
315,S(5479),O=C1[C]=CC1_m2
316,S(11507),C#CC(=O)CO[C]=C_m2
317,S(11368),C=C1[C]=CO1_m2
318,S(11367),[CH]=C=C1CO1_m2
319,S(11558),C#CC(=O)CC([O])O_m2
320,S(3514),[CH2]C#CC=O_m2
321,S(11732),[O]CCC#CC=O_m2
322,S(11758),CC([O])CC#CC=O_m2
323,S(3981),[O]OCC#CC=O_m2
324,S(3977),C=C=C(C=O)O[O]_m2
325,S(11678),C=C=C1[CH]O1_m2
326,S(11795),[O]C(O)CC#CC=O_m2
327,S(7093),[CH]=C1CC1=O_m2
328,S(11692),C#C[C]=CO_m2
329,S(11768),[CH2]C#CC([O])CC=O_m3
330,S(11710),O=[C]CC#CC=O_m2
331,S(11767),C=[C][C]=COCC=O_m3
332,S(4478),O=CC1=[C]COO1_m2
333,S(1598),C=[C]OCC(C)=O_m2
334,S(9156),[O]C(C=C=O)=CO_m2
335,S(9155),[O]C=C(O)C=C=O_m2
336,S(11712),C=C=C([C]=O)C=O_m2
337,S(11388),C#CC(=O)C[C]=O_m2
338,S(9239),[O]OC(=O)[CH]C(=O)C=O_m3
339,S(9341),[O]OC(O)(C=O)C=C=O_m2
340,S(9343),[O]OC(O)C(=O)C=C=O_m2
341,S(11903),O=CC(=O)C1OOC1=O_m1
342,S(2256),[CH]=C(O)C=O_m2
343,S(11408),CC(=O)OOC(O)[C]=O_m2
344,S(6378),[O]C(=O)C([O])C(=O)C=O_m3
345,S(11409),O=C1OOC(O)C1=O_m1
346,S(12174),CC(=O)OO[CH]O_m2
347,S(161),CC([O])=O_m2
348,S(12228),CC(=O)OOC=O_m1
349,S(11709),C=C=C(C=O)OO_m1
350,S(12374),C=CCC1([O])C(=O)OOC1O_m2
351,S(6616),[O]C(CC=O)C(O)=C=O_m2
352,S(12406),C#CCC1([O])C(=O)OOC1O_m2
353,S(6617),[O]C(CC=O)=C(O)C=O_m2
354,S(11836),C=[C]C(=O)C=O_m2
355,S(12441),C=C=C(O)[C]=O_m2
356,S(12491),C=C(O[O])C(=O)C=O_m2
357,S(11381),C=C1O[C]1C=O_m2
358,S(12436),C#CC(=O)C=O_m1
359,S(12511),[CH2]C#CO_m2
360,S(8408),C=C=C=O_m1
361,S(8206),[CH]C=C=O_m3
362,S(12520),C=C([C]=O)O[O]_m3
363,S(12517),C=C1OOC([O])C1=O_m2
364,S(12515),[CH2]C1(OO1)C(=O)C=O_m2
365,S(12876),O=C1C=C1_m1
366,S(12914),C=C1OOC(=O)[C]1O_m2
367,S(12906),C=C1OOC(=O)C1=O_m1
368,S(12905),C=C([C]=O)OOC=O_m2
369,S(12977),C=[C]OOC=O_m2
370,S(12882),C=C1OC1=O_m1
371,S(10807),[CH2]C([O])=C=O_m3
372,S(12886),O=C=C1CO1_m1
373,S(13143),O=C1CC1=O_m1
374,C2H2O(65),[CH2][C]=O_m3
375,S(13142),C=[C]C([O])=O_m3
376,S(12965),[CH2]C(=O)C(=O)C([O])=O_m3
377,S(2689),O=[C]C[C]=O_m3
378,S(6071),[O]OC=C(O)C=O_m2
379,S(8539),[O]OC1C=COC1O_m2
380,S(7066),CCC1[CH]COO1_m2
381,S(5345),[O]C=CC(C=O)O[O]_m3
382,S(6063),O=[C]C(O)=CO_m2
383,S(2724),OOC[C](O)O_m2
384,S(12678),O=CC1(O)O[CH]CC1=O_m2
385,S(5907),O=CC(=O)[CH]O_m2
386,S(6343),[O]OC(O)C(O)=C=O_m2
387,S(13743),OC1(O)CO1_m1
388,S(6347),[O]OC(O)C(=O)C=O_m2
389,S(13770),[O]OC(=O)C(O)=CO_m2
390,S(14048),O=C([CH]O)C(=O)OO_m2
391,S(14049),O=C(OO)C(O)=[C]O_m2
392,S(11419),[O]C1OOC(O)C1=O_m2
393,S(12196),O=C1OOC(O)[C]1O_m2
394,S(14102),O=CC(=O)C(=O)OO_m1
395,S(14107),O=C1OC(O)C1=O_m1
396,S(14285),[O]C1(CC=O)C(=O)OC1O_m2
397,S(14283),O=CCO[C]1C(=O)OC1O_m2
398,S(14353),C=CCC1([O])C(=O)OC1O_m2
399,S(14369),C#CCC1([O])C(=O)OC1O_m2
400,S(14284),[O]C1=C(OCC=O)OC1O_m2
401,S(13793),[CH2]C([O])(O)O_m3
402,S(14286),[O]C1(CC=O)OC(O)C1=O_m2
403,S(13791),O=C(O)O_m1
404,HOCO(82),O=[C]O_m2
405,CHO3(90),[O]C(=O)O_m2
406,S(12178),O=C1OO[C](O)C1=O_m2
407,S(14714),[O]C(=O)C(=O)C(=O)O_m2
408,S(14709),O=C1OOC(=O)C1=O_m1
409,S(14725),O=[C]C(=O)O_m2
410,S(14827),C=CCC1([O])C(=O)OOC1=O_m2
411,S(2547),[CH]1COOC1_m2
412,S(14717),O=C1OOC(=O)[C]1O_m2
413,S(14194),O=C1OC(O)[C]1O_m2
