pressure dependence,,reaction_id
press_indep,322,[CH]_m4.C=O_m1>>[H]_m2.C=C=O_m1
press_indep,323,C=C=O_m1.[O]_m3>>[CH2]_m3.O=C=O_m1
press_indep,324,C=C=O_m1.[OH]_m2>>[CH2]O_m2.[C]=O_m3
press_indep,325,C=C=O_m1.[CH2]_m1>>C=C_m1.[C]=O_m3
press_indep,326,C=C=O_m1.[CH3]_m2>>C[CH2]_m2.[C]=O_m3
press_indep,327,[CH]=C=O_m2.[OH]_m2>>[H][H]_m1.[C]=O_m3.[C]=O_m3
press_indep,328,[CH]=C=O_m2.[O]_m3>>[H]_m2.[C]=O_m3.[C]=O_m3
press_indep,329,[CH]=C=O_m2.[H]_m2>>[CH2]_m1.[C]=O_m3
press_indep,330,[CH]=C=O_m2.[O][O]_m3>>[OH]_m2.[C]=O_m3.[C]=O_m3
press_indep,331,[CH]=C=O_m2.[O][O]_m3>>O=C=O_m1.[C]=O_m3.[H]_m2
press_indep,332,[CH]_m4.[CH]=C=O_m2>>[C]=O_m3.C#C_m1
press_indep,333,CCO_m1>>C=C_m1.O_m1
press_indep,334,CCO_m1>>[CH3]_m2.[CH2]O_m2
press_indep,335,CCO_m1>>C[CH2]_m2.[OH]_m2
press_indep,336,CCO_m1.[O]_m3>>CC[O]_m2.[OH]_m2
press_indep,337,CCO_m1.[OH]_m2>>CC[O]_m2.O_m1
press_indep,338,CCO_m1.[H]_m2>>CC[O]_m2.[H][H]_m1
press_indep,339,CCO_m1.O[O]_m2>>CC[O]_m2.OO_m1
press_indep,340,CCO_m1.[CH3]_m2>>CC[O]_m2.C_m1
press_indep,341,CCO_m1.CO[O]_m2>>CC[O]_m2.COO_m1
press_indep,342,CCO_m1.C[CH2]_m2>>[CH2]CO_m2.CC_m1
