chemkin_index,string,reaction_id,ig_delay
196,C2H6+O2<=>C2H5+HO2,CC_m1.[O][O]_m3>>C[CH2]_m2.O[O]_m2,0.0017192
197,C2H6+O<=>C2H5+OH,CC_m1.[O]_m3>>C[CH2]_m2.[OH]_m2,0.0000063
198,C2H6+H<=>C2H5+H2,CC_m1.[H]_m2>>C[CH2]_m2.[H][H]_m1,0.0000048
199,C2H6+OH<=>C2H5+H2O,CC_m1.[OH]_m2>>C[CH2]_m2.O_m1,0.0000891
200,C2H6+HO2<=>C2H5+H2O2,CC_m1.O[O]_m2>>C[CH2]_m2.OO_m1,0.00071575
201,C2H6+CH<=>C2H5+CH2,CC_m1.[CH]_m4>>C[CH2]_m2.[CH2]_m3,0.000000103
202,C2H6+CH2(S)<=>C2H5+CH3,CC_m1.[CH2]_m1>>C[CH2]_m2.[CH3]_m2,0.000000279
203,C2H6+CH3<=>C2H5+CH4,CC_m1.[CH3]_m2>>C[CH2]_m2.C_m1,0.000000749
204,C2H6+CH3O<=>C2H5+CH3OH,CC_m1.C[O]_m2>>C[CH2]_m2.CO_m1,0.000000103
205,C2H6+CH3O2<=>C2H5+CH3O2H,CC_m1.CO[O]_m2>>C[CH2]_m2.COO_m1,0.0000136
206,C2H6+C2H5O2<=>C2H5+C2H5O2H,CC_m1.CCO[O]_m2>>C[CH2]_m2.CCOO_m1,0.0000119
207,C2H4+H(+M)<=>C2H5(+M),C=C_m1.[H]_m2>>C[CH2]_m2,0.00030403
208,C2H5+H<=>C2H4+H2,C[CH2]_m2.[H]_m2>>C=C_m1.[H][H]_m1,0.00000386
209,C2H4+C2H4<=>C2H5+C2H3,C=C_m1.C=C_m1>>C[CH2]_m2.C=[CH]_m2,0.00000498
210,C2H5+CH3<=>CH4+C2H4,C[CH2]_m2.[CH3]_m2>>C_m1.C=C_m1,0.0000861
211,C2H5+O<=>CH3CHO+H,C[CH2]_m2.[O]_m3>>CC=O_m1.[H]_m2,0.0000828
212,C2H5+HO2<=>C2H5O+OH,C[CH2]_m2.O[O]_m2>>CC[O]_m2.[OH]_m2,0.036281
213,C2H5+CH3O2<=>C2H5O+CH3O,C[CH2]_m2.CO[O]_m2>>CC[O]_m2.C[O]_m2,0.0015187
214,CH3+CH3<=>H+C2H5,[CH3]_m2.[CH3]_m2>>[H]_m2.C[CH2]_m2,0.00000797
215,C2H5+O2<=>C2H5O2,C[CH2]_m2.[O][O]_m3>>CCO[O]_m2,0.0006663
216,C2H5+O2<=>C2H4O2H,C[CH2]_m2.[O][O]_m3>>[CH2]COO_m2,0.00010477
217,C2H5+O2<=>C2H4+HO2,C[CH2]_m2.[O][O]_m3>>C=C_m1.O[O]_m2,0.063255
218,C2H5+O2<=>C2H4O1-2+OH,C[CH2]_m2.[O][O]_m3>>O1CC1_m1.[OH]_m2,0.0021365
219,C2H5+O2<=>CH3CHO+OH,C[CH2]_m2.[O][O]_m3>>CC=O_m1.[OH]_m2,0.0029488
220,C2H4O2H<=>C2H5O2,[CH2]COO_m2>>CCO[O]_m2,0.00072367
221,C2H5O2<=>CH3CHO+OH,CCO[O]_m2>>CC=O_m1.[OH]_m2,0.0000206
222,C2H5O2<=>C2H4+HO2,CCO[O]_m2>>C=C_m1.O[O]_m2,0.014942
223,C2H5O2<=>C2H4O1-2+OH,CCO[O]_m2>>O1CC1_m1.[OH]_m2,0.00014129
224,C2H4O2H<=>C2H4O1-2+OH,[CH2]COO_m2>>O1CC1_m1.[OH]_m2,0.0067566
225,C2H4O2H<=>C2H4+HO2,[CH2]COO_m2>>C=C_m1.O[O]_m2,0.0064462
226,C2H4O2H<=>CH3CHO+OH,[CH2]COO_m2>>CC=O_m1.[OH]_m2,1.47E-08
227,H2+C2H5O2<=>H+C2H5O2H,[H][H]_m1.CCO[O]_m2>>[H]_m2.CCOO_m1,0.00021243
228,C2H5O2+HO2<=>C2H5O2H+O2,CCO[O]_m2.O[O]_m2>>CCOO_m1.[O][O]_m3,0.02314
229,C2H5O2+CH2O<=>C2H5O2H+HCO,CCO[O]_m2.C=O_m1>>CCOO_m1.[CH]=O_m2,0.015728
230,C2H5O2+CH4<=>C2H5O2H+CH3,CCO[O]_m2.C_m1>>CCOO_m1.[CH3]_m2,0.0000639
231,C2H5O2+CH3OH<=>C2H5O2H+CH2OH,CCO[O]_m2.CO_m1>>CCOO_m1.[CH2]O_m2,0.00039795
232,C2H5O2H<=>C2H5O+OH,CCOO_m1>>CC[O]_m2.[OH]_m2,0.0029636
233,C2H4O1-2<=>CH3+HCO,O1CC1_m1>>[CH3]_m2.[CH]=O_m2,0.00027587
234,C2H4O1-2<=>CH3CHO,O1CC1_m1>>CC=O_m1,0.0000376
235,C2H4O1-2+H<=>C2H3O1-2+H2,O1CC1_m1.[H]_m2>>O1[CH]C1_m2.[H][H]_m1,0.0000149
236,C2H4O1-2+OH<=>C2H3O1-2+H2O,O1CC1_m1.[OH]_m2>>O1[CH]C1_m2.O_m1,0.00072203
237,C2H4O1-2+HO2<=>C2H3O1-2+H2O2,O1CC1_m1.O[O]_m2>>O1[CH]C1_m2.OO_m1,0.00000148
238,C2H4O1-2+CH3<=>C2H3O1-2+CH4,O1CC1_m1.[CH3]_m2>>O1[CH]C1_m2.C_m1,0.00000401
239,C2H4O1-2+CH3O<=>C2H3O1-2+CH3OH,O1CC1_m1.C[O]_m2>>O1[CH]C1_m2.CO_m1,0.000000954
240,C2H4O1-2+CH3O2<=>C2H3O1-2+CH3O2H,O1CC1_m1.CO[O]_m2>>O1[CH]C1_m2.COO_m1,7.34E-08
241,C2H4O1-2+C2H5O2<=>C2H3O1-2+C2H5O2H,O1CC1_m1.CCO[O]_m2>>O1[CH]C1_m2.CCOO_m1,7.34E-08
242,C2H3O1-2<=>CH3CO,O1[CH]C1_m2>>C[C]=O_m2,0.00011789
243,C2H3O1-2<=>CH2CHO,O1[CH]C1_m2>>[CH2]C=O_m2,0.00010694
244,C2H3+H(+M)<=>C2H4(+M),C=[CH]_m2.[H]_m2>>C=C_m1,0.00000192
245,C2H4(+M)<=>H2+H2CC(+M),C=C_m1>>[H][H]_m1.C=[C]_m3,0.000000103
246,C2H4+O2<=>C2H3+HO2,C=C_m1.[O][O]_m3>>C=[CH]_m2.O[O]_m2,0.00014531
247,C2H4+H<=>C2H3+H2,C=C_m1.[H]_m2>>C=[CH]_m2.[H][H]_m1,0.0001841
248,C2H4+OH<=>C2H3+H2O,C=C_m1.[OH]_m2>>C=[CH]_m2.O_m1,0.03193
249,C2H4+CH3O<=>C2H3+CH3OH,C=C_m1.C[O]_m2>>C=[CH]_m2.CO_m1,0.0000392
