idx,string,reaction_id
193,OCHO+OH<=>HO2CHO,[O]C=O_m2.[OH]_m2>>OOC=O_m1
194,CH3+CH3(+M)<=>C2H6(+M),[CH3]_m2.[CH3]_m2>>CC_m1
195,C2H5+H(+M)<=>C2H6(+M),C[CH2]_m2.[H]_m2>>CC_m1
196,C2H6+O2<=>C2H5+HO2,CC_m1.[O][O]_m3>>C[CH2]_m2.O[O]_m2
197,C2H6+O<=>C2H5+OH,CC_m1.[O]_m3>>C[CH2]_m2.[OH]_m2
198,C2H6+H<=>C2H5+H2,CC_m1.[H]_m2>>C[CH2]_m2.[H][H]_m1
199,C2H6+OH<=>C2H5+H2O,CC_m1.[OH]_m2>>C[CH2]_m2.O_m1
200,C2H6+HO2<=>C2H5+H2O2,CC_m1.O[O]_m2>>C[CH2]_m2.OO_m1
201,C2H6+CH<=>C2H5+CH2,CC_m1.[CH]_m4>>C[CH2]_m2.[CH2]_m3
202,C2H6+CH2(S)<=>C2H5+CH3,CC_m1.[CH2]_m1>>C[CH2]_m2.[CH3]_m2
203,C2H6+CH3<=>C2H5+CH4,CC_m1.[CH3]_m2>>C[CH2]_m2.C_m1
204,C2H6+CH3O<=>C2H5+CH3OH,CC_m1.C[O]_m2>>C[CH2]_m2.CO_m1
205,C2H6+CH3O2<=>C2H5+CH3O2H,CC_m1.CO[O]_m2>>C[CH2]_m2.COO_m1
206,C2H6+C2H5O2<=>C2H5+C2H5O2H,CC_m1.CCO[O]_m2>>C[CH2]_m2.CCOO_m1
207,C2H4+H(+M)<=>C2H5(+M),C=C_m1.[H]_m2>>C[CH2]_m2
208,C2H5+H<=>C2H4+H2,C[CH2]_m2.[H]_m2>>C=C_m1.[H][H]_m1
209,C2H4+C2H4<=>C2H5+C2H3,C=C_m1.C=C_m1>>C[CH2]_m2.C=[CH]_m2
210,C2H5+CH3<=>CH4+C2H4,C[CH2]_m2.[CH3]_m2>>C_m1.C=C_m1
211,C2H5+O<=>CH3CHO+H,C[CH2]_m2.[O]_m3>>CC=O_m1.[H]_m2
212,C2H5+HO2<=>C2H5O+OH,C[CH2]_m2.O[O]_m2>>CC[O]_m2.[OH]_m2
